peakID	H3K36me3	m6A
peak=36127	-0.331472782639713	-12.6029307909152
peak=36128	12.7588478031083	-12.0603581826421
peak=21899	0.0574998161335221	-12.3556263936379
peak=1263	-12.8476446430833	-10.7984718011016
peak=1264	-12.3855928136014	-10.7984718011016
peak=1265	-12.3963371942311	-10.7984718011016
peak=1266	-12.5936245497061	-10.7984718011016
peak=31547	-12.9998238790157	-14.7987249188174
peak=31549	-13.0534168447575	-12.9713639243619
peak=34031	-12.3855928136014	-12.4946056156712
peak=34032	-12.3855928136014	-11.3613955331659
peak=34033	-12.6906527993485	-11.6974020075027
peak=22702	-0.952471629917414	-14.1277525622761
peak=15540	-12.3909750061555	-15.3615668807249
peak=9637	0.332504380473823	-12.4016795259825
peak=34035	-0.731960575995017	-12.9695663972905
peak=22703	12.1003338191265	-12.3390148682501
peak=15541	-12.2351167143963	-15.3615668807249
peak=34036	-12.6906527993485	-12.6818972267862
peak=15542	-12.1199137854523	-15.3615668807249
peak=34037	-12.4693874409643	-15.1791704525302
peak=22705	12.3720488252728	-11.5891829670394
peak=15543	-12.4693874409643	-15.3615668807249
peak=34038	-12.2994942390094	-11.1299269335104
peak=22294	-0.133266530863464	14.5627790413152
peak=7540	-12.1199137854523	-15.1984834104911
peak=22296	12.5242968376626	-14.0617930703249
peak=10964	0.167877172793454	13.8918786142437
peak=22297	-0.0386675083314961	-14.0617930703249
peak=7544	-12.4228531959443	-12.4175888403826
peak=20610	-11.9035053104239	-13.6097558854237
peak=7545	-12.2994942390094	-15.7233676405462
peak=20611	-11.9840623696864	-13.6097558854237
peak=20612	-12.2994942390094	-13.6097558854237
peak=13450	-12.2994942390094	14.5627790413152
peak=2960	12.6213650943149	16.8112868807262
peak=20613	-12.3855928136014	-13.6097558854237
peak=13451	-12.3855928136014	14.5627790413152
peak=20614	-12.7315311764619	-13.6097558854237
peak=13452	-12.5461710022674	14.5627790413152
peak=2962	0.143491593589532	14.7207252189857
peak=20615	-12.5461710022674	-12.4820516290339
peak=13453	-12.2994942390094	14.5627790413152
peak=2963	-12.352871054678	14.7207252189857
peak=13454	-13.0803178929571	14.5627790413152
peak=2964	-12.6350378711833	13.8038284107908
peak=13455	-12.1068900450922	14.5627790413152
peak=2965	-11.9333218207329	13.8038284107908
peak=13456	-12.3855928136014	14.5627790413152
peak=2966	-12.6485822833637	13.8038284107908
peak=13457	-12.4693874409643	14.5627790413152
peak=2967	-12.7546787638225	14.3443652665871
peak=13458	-12.2994942390094	14.5627790413152
peak=2968	-12.1677317411032	14.3443652665871
peak=13459	-11.998237821888	14.5627790413152
peak=2969	-12.3165643853969	14.3443652665871
peak=28571	0.231618140473551	-12.0192432166036
peak=35734	-12.3855928136014	-11.6577650352654
peak=28572	-12.2994942390094	10.9151324489507
peak=35735	12.7315311764619	-11.6577650352654
peak=28573	12.7463043677013	-14.358170405569
peak=35736	-0.737813988804527	-11.6577650352654
peak=11362	-11.8181827049486	14.2949796550409
peak=28577	-12.4693874409643	0.966316873743711
peak=23990	-13.0902778568574	-13.4121728658238
peak=28578	-12.4693874409643	12.1645927167124
peak=28579	-12.6213650943149	-2.53382365172936
peak=11367	-0.418005397961591	11.8769005910403
peak=11368	12.5677184578508	11.8769005910403
peak=23997	-12.0804844570676	-13.029459787825
peak=23998	-12.6906527993485	-13.029459787825
peak=19734	12.4769992861331	13.8918786142437
peak=3362	-12.7272823292122	11.9589151560914
peak=23999	-12.6213650943149	-13.029459787825
peak=19735	12.5242968376626	13.8238647725686
peak=3363	13.1518093591798	11.9589151560914
peak=19736	12.3747678140928	13.8918786142437
peak=3364	-12.3611213347348	11.9589151560914
peak=19737	12.6144798042453	12.1360298493856
peak=3365	-11.998237821888	11.9589151560914
peak=21018	-0.563512140849782	-11.3054917921107
peak=19738	-0.667131042301983	13.0985256213795
peak=21019	-12.8139815516147	-13.7835098573426
peak=3368	-12.6730881929094	12.0192432166036
peak=3369	-11.9184905922923	12.0192432166036
peak=36130	-12.3445733225962	-13.1628633376081
peak=36132	-12.3936585914548	-14.2363879761447
peak=36133	-12.2351167143963	-14.2363879761447
peak=36134	-12.5461710022674	-14.2363879761447
peak=17640	-12.2851131885015	13.8918786142437
peak=36135	-12.9423312245106	-12.1166688559671
peak=36136	-12.2230966903477	-12.1166688559671
peak=36137	-12.8099690471762	-12.1166688559671
peak=36138	-12.9998238790157	-11.9035053104239
peak=36139	-13.252813241993	-11.6488069497258
peak=24392	-12.1068900450922	11.8419573990995
peak=31555	-0.141355849245542	13.1358695766485
peak=24393	-12.6213650943149	11.8419573990995
peak=31556	13.1099938458452	13.1358695766485
peak=24394	-12.3165643853969	11.8419573990995
peak=24395	-12.9423312245106	13.4894716870077
peak=9641	-12.6213650943149	16.2288374754653
peak=9642	-12.0738068471785	16.2288374754653
peak=34040	-13.0534168447575	-15.7834331216461
peak=9643	13.2062512720607	19.7585762054504
peak=34041	0.326228232320988	-12.459175435552
peak=9644	13.1067265020392	19.7585762054504
peak=22710	-12.4096561130599	11.5608104687279
peak=34043	-0.284501599023796	-14.1115432457497
peak=22713	-13.0952321716193	-12.2170489135563
peak=22714	12.161446847518	14.1357894336026
peak=34047	-12.4921035424792	-14.3374128410032
peak=22715	-12.4995967814898	-16.0232562187711
peak=34048	-12.6213650943149	-14.3374128410032
peak=34049	-12.6906527993485	-14.3374128410032
peak=25200	-0.365181292841246	11.5844927969759
peak=15557	12.7166051413354	-10.7490313820402
peak=10970	0.211251863731247	14.0785678077783
peak=25201	-12.6752954990941	11.5844927969759
peak=15558	12.5889488203147	-10.7490313820402
peak=25202	-13.1565571532	11.7569732261654
peak=25203	0.216623940876836	14.2949796550409
peak=10	-12.6906527993485	-2.28780231098274
peak=25205	13.4227218209006	13.1358695766485
peak=7553	-0.146097240943772	12.7080061288961
peak=11	-12.8219732354811	-12.2381061374321
peak=25206	-12.8843613391657	11.2767060198924
peak=14	-12.6906527993485	-12.2618011071953
peak=25209	-12.6213650943149	14.4318240280079
peak=13460	-12.8219732354811	14.5627790413152
peak=13461	-12.5461710022674	-11.4568677383803
peak=16	-12.6213650943149	-11.7359790396134
peak=2971	13.02427396254	13.8918786142437
peak=17	-12.2994942390094	-13.0260046429789
peak=2972	12.4946056156712	14.0189825278438
peak=13463	13.1067265020392	14.243843395769
peak=18	-12.5936245497061	-11.693051295397
peak=13464	-11.998237821888	13.956829877743
peak=19	0.478634354815141	-13.0346270391973
peak=13465	13.2542905051171	13.956829877743
peak=13466	12.9998238790157	13.956829877743
