peakID	H3K36me3	m6A
peak=17632	-0.614334912121863	-0.486782106782253
peak=17633	-13.3827591040565	-0.282572270919897
peak=17634	-12.2588604314098	-11.4670960339057
peak=1262	-1.28350787657354	-10.6447575925163
peak=17635	-0.885541275415085	-0.80083179847627
peak=1263	-13.705740369476	0.206753297558857
peak=17637	-12.2291192206586	0.880111264492918
peak=17639	-1.70068147684143	0.230707689548451
peak=1267	-12.670877504397	-1.77046733775772
peak=9632	-13.515576652096	-0.610053481683986
peak=15540	-12.7774608126698	-0.225174862007775
peak=15541	-13.2199247688628	-0.357821764486545
peak=9638	-1.12989314153643	-0.94656074103854
peak=15543	-1.69149704631333	0.18913230522837
peak=15548	-12.1068900450922	-0.422501018463963
peak=10961	-13.2349670805175	-0.710852753847075
peak=18031	-13.283522485644	-11.4204866128258
peak=10963	-12.3390148682501	13.8631215321584
peak=7541	-12.6575417597034	-3.34038499959492
peak=10964	-13.9404053687208	0.265502661424544
peak=7542	-12.577192765687	0.0196288067489326
peak=10966	-12.6418259720418	0.619576255802493
peak=10967	-12.6282176802234	0.857555734979795
peak=10968	-13.1083610989066	-0.749349318622039
peak=2960	-13.127833153011	-0.166595447596854
peak=13451	-13.6540765624951	0.192645077942396
peak=18039	-12.9767431067343	-0.901084973927313
peak=13452	-12.752589717641	-0.731587414439639
peak=2962	-0.833807717434017	-1.26341662733315
peak=7549	-13.4409989005403	-1.58190594228782
peak=2963	-12.204876767604	-0.709322839097077
peak=2964	-12.2880008897076	-0.143670360671436
peak=13455	-13.6817874451752	0.0560945620709261
peak=2965	-0.518660130353001	0.120294233717712
peak=2966	-1.12445557110718	-0.186700714193139
peak=13458	-12.377481688183	-0.870791254981786
peak=5453	-12.1519678709682	0.443481477292994
peak=5454	-12.6553071015105	-0.0623658809603735
peak=5458	-13.1924469403233	-0.29685607293053
peak=11369	-13.1816181683958	-1.69525534228137
peak=3360	-1.80654646306145	-1.29857269822133
peak=3361	12.3165643853969	-1.29857269822133
peak=3362	-13.7545743833254	-10.9736973663054
