###ChIP-seq peak statistics(PeakNum)
sample	shCont	shSetD2	shM14	shM3	shWTAP
HepG2_rep1	32803	2895	34177	30764	32859
HepG2_rep2	21787	274	NA	NA	NA
HepG2_rep1-2	17856	1244	NA	NA	NA
Hela_rep1	26024	31801	23850	30584	42852
Hela_rep2	32528	12012
mESCs-D0	30595	2961
mMEFs	8705	4


###m6A-seq peak statistics(PeakNum)
samples	shCont	shSetD2	shM14	shM3	shWTAP
HepG2_rep1	14919	11177	13147	13943	13190
HepG2_rep2	11923	9585	13172	14151	12938
HepG2_rep3	18664	16960	15949	18161	17656
HepG2_rep1-2	19061	14101	16929	17430	17000
HepG2_rep1-3	21346	18355	18431	20079	20321
HepG2_rep2-3	21368	18225	18030	20457	19108
HepG2_rep1-2-3	23357	19530	19994	21578	20688
Hela_rep1	12138	8448	14296	12957	13460
Hela_rep2	7523	8423	13815	12844	7097
Hela_rep3	13845	13677	9449	8135	11600
Hela_rep1-2	9809	14078	16487	14943	16334
Hela_rep1-3	17972	15371	16244	14201	14311
Hela_rep2-3	12249	15243	15892	14051	11834
Hela_rep1-2-3	13885	16939	17804	15559	15078
Hela_rep1-1-3	16757	NA	NA	NA	NA
Hechuan_Hela_new_Rep1-2	17943	NA	NA	NA	NA
Hechuan_Hela_new_Rep1-2	14794	NA	NA	NA	NA
Hechuan_Hela_old_Rep1-2	17953	NA	NA	NA	NA
mESCs-D0	14987	15585	NA	NA	NA
mESCs-D6	15067	14925	NA	NA	NA
mMEFs	13439	15412	NA	NA	NA
